group,percentile_range,mean,lower_err,upper_err,n,q1,q3
1,0-20%,60840.262030738224,10840.262030738224,14159.737969261776,3969,50000.0,75000.0
2,20-40%,157394.80977576214,32394.809775762144,42605.19022423786,3969,125000.0,200000.0
3,40-60%,298469.387755102,48469.38775510201,51530.61224489799,3969,250000.0,350000.0
4,60-80%,665747.0395565634,165747.03955656337,134252.96044343663,3969,500000.0,800000.0
5,80-100%,7726203.073822121,5926203.073822121,0.0,3969,1800000.0,7000000.0
