group,percentile_range,mean,lower_err,upper_err,n,q1,q3
1,0-20%,62072.70029673591,12072.700296735908,37927.29970326409,3370,50000.0,100000.0
2,20-40%,158175.07418397625,33175.07418397625,41824.92581602375,3370,125000.0,200000.0
3,40-60%,291721.06824925815,41721.068249258155,33278.931750741845,3370,250000.0,325000.0
4,60-80%,618583.0860534124,118583.08605341241,131416.9139465876,3370,500000.0,750000.0
5,80-100%,6018293.768545994,4518293.768545994,0.0,3370,1500000.0,5500000.0
