timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu, fan.speed [%]
2026/05/30 02:49:42.480, 100 %, 83 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:43.481, 100 %, 54 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:44.483, 100 %, 59 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:45.484, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:46.486, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:47.488, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:49:48.489, 100 %, 89 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:49.491, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:50.493, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:51.495, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:52.496, 100 %, 73 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:53.497, 100 %, 57 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:54.498, 100 %, 51 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:55.499, 100 %, 52 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:56.500, 100 %, 69 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:57.502, 100 %, 92 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:58.504, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:59.505, 100 %, 98 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:00.507, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:01.509, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:02.510, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:03.512, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:04.514, 100 %, 68 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:05.516, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:06.518, 100 %, 64 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:07.520, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:08.522, 100 %, 57 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:50:09.524, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:10.525, 100 %, 74 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:11.527, 100 %, 93 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:12.529, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:50:13.531, 100 %, 51 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:14.533, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:15.534, 100 %, 54 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:16.536, 100 %, 66 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:17.538, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:18.540, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:19.541, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:20.542, 100 %, 95 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:21.544, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:22.546, 100 %, 69 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:50:23.548, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:50:24.550, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:25.551, 100 %, 73 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:26.553, 100 %, 72 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:27.554, 100 %, 68 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:28.556, 100 %, 76 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:29.557, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:30.559, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:31.560, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:32.561, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:33.563, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:34.564, 100 %, 82 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:35.566, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:36.567, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:37.569, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:38.572, 100 %, 96 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:39.574, 100 %, 58 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:40.576, 100 %, 68 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:41.577, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:42.579, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:43.580, 100 %, 71 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:44.582, 100 %, 98 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:45.583, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:46.585, 100 %, 76 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:50:47.587, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:48.589, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:49.591, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:50.593, 100 %, 89 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:51.595, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:52.596, 100 %, 90 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:53.598, 100 %, 73 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:54.600, 100 %, 91 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:55.601, 100 %, 93 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:56.603, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:57.604, 100 %, 62 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:58.606, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:59.607, 100 %, 78 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:00.609, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:01.611, 100 %, 86 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:02.612, 100 %, 87 %, 21817 MiB, 2265 MiB, 75, 100 %
